matricule;prenom;nom;date_naissance;parcours;niveau;UE1;UE2;UE3;UE5;UE6;UE7;UE8;UE1_credit;UE2_credit;UE3_credit;UE5_credit;UE6_credit;UE7_credit;UE8_credit;UE1_nom;UE2_nom;UE3_nom;UE5_nom;UE6_nom;UE7_nom;UE8_nom
20230996;Camille;Laurent;25/10/2001;KINESITHERAPIE;L1;15.17;14.131;13.39;12.17;13.17;15.22;14.204;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230997;Jean;Dupont;15/05/2000;INFIRMIER GENERAL;PACES;12.23;14.135;13.40;11.18;15.23;16.18;14.210;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230998;Marie;Martin;22/03/2001;INFIRMIER GENERAL;PACES;15.18;13.23;14.18;12.23;14.23;15.23;13.18;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20230999;Pierre;Durant;30/11/1999;SAGE-FEMME;L1;11.23;12.18;13.0;14.23;15.18;13.23;12.23;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231000;Sophie;Leroy;18/07/2002;SAGE-FEMME;L1;14.23;15.23;13.0;12.18;14.18;16.23;15.18;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231001;Lucas;Moreau;10/09/2000;KINESITHERAPIE;L1;13.18;14.23;15.18;11.23;12.23;14.18;13.23;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231002;Emma;Petit;05/12/2001;KINESITHERAPIE;L1;15.23;16.18;14.5;13.18;15.18;13.23;14.18;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231003;Thomas;Roux;20/08/1999;INFIRMIER GENERAL;PACES;12.18;13.23;14.5;15.18;11.23;12.23;13.18;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231004;Chloé;Simon;14/02/2002;INFIRMIER GENERAL;PACES;14.18;15.23;13.18;12.23;14.23;15.18;16.23;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231005;Nicolas;Girard;30/06/2000;SAGE-FEMME;L1;13.23;12.18;14.18;15.23;16.18;14.23;13.18;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231006;Camille;Laurent;25/10/2001;KINESITHERAPIE;L1;15.18;14.130;13.40;12.18;13.18;15.23;14.205;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231007;Jean;Dupont;15/05/2000;INFIRMIER GENERAL;PACES;12.24;14.134;13.41;11.19;15.24;16.19;14.211;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231008;Marie;Martin;22/03/2001;INFIRMIER GENERAL;PACES;15.19;13.24;14.19;12.24;14.24;15.24;13.19;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231009;Pierre;Durant;30/11/1999;SAGE-FEMME;L1;11.24;12.19;13.0;14.24;15.19;13.24;12.24;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231010;Sophie;Leroy;18/07/2002;SAGE-FEMME;L1;14.24;15.24;13.0;12.19;14.19;16.24;15.19;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231011;Lucas;Moreau;10/09/2000;KINESITHERAPIE;L1;13.19;14.24;15.19;11.24;12.24;14.19;13.24;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231012;Emma;Petit;05/12/2001;KINESITHERAPIE;L1;15.24;16.19;14.5;13.19;15.19;13.24;14.19;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231013;Thomas;Roux;20/08/1999;INFIRMIER GENERAL;PACES;12.19;13.24;14.5;15.19;11.24;12.24;13.19;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231014;Chloé;Simon;14/02/2002;INFIRMIER GENERAL;PACES;14.19;15.24;13.19;12.24;14.24;15.19;16.24;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231015;Nicolas;Girard;30/06/2000;SAGE-FEMME;L1;13.24;12.19;14.19;15.24;16.19;14.24;13.19;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231016;Camille;Laurent;25/10/2001;KINESITHERAPIE;L1;15.19;14.129;13.41;12.19;13.19;15.24;14.206;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231017;Jean;Dupont;15/05/2000;INFIRMIER GENERAL;PACES;12.25;14.133;13.42;11.20;15.25;16.20;14.212;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231018;Marie;Martin;22/03/2001;INFIRMIER GENERAL;PACES;15.20;13.25;14.20;12.25;14.25;15.25;13.20;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231019;Pierre;Durant;30/11/1999;SAGE-FEMME;L1;11.25;12.20;13.0;14.25;15.20;13.25;12.25;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231020;Sophie;Leroy;18/07/2002;SAGE-FEMME;L1;14.25;15.25;13.0;12.20;14.20;16.25;15.20;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231021;Lucas;Moreau;10/09/2000;KINESITHERAPIE;L1;13.20;14.25;15.20;11.25;12.25;14.20;13.25;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231022;Emma;Petit;05/12/2001;KINESITHERAPIE;L1;15.25;16.20;14.5;13.20;15.20;13.25;14.20;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231023;Thomas;Roux;20/08/1999;INFIRMIER GENERAL;PACES;12.20;13.25;14.5;15.20;11.25;12.25;13.20;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231024;Chloé;Simon;14/02/2002;INFIRMIER GENERAL;PACES;14.20;15.25;13.20;12.25;14.25;15.20;16.25;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231025;Nicolas;Girard;30/06/2000;SAGE-FEMME;L1;13.25;12.20;14.20;15.25;16.20;14.25;13.20;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231026;Camille;Laurent;25/10/2001;KINESITHERAPIE;L1;15.20;14.128;13.42;12.20;13.20;15.25;14.207;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231027;Jean;Dupont;15/05/2000;INFIRMIER GENERAL;PACES;12.26;14.132;13.43;11.21;15.26;16.21;14.213;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231028;Marie;Martin;22/03/2001;INFIRMIER GENERAL;PACES;15.21;13.26;14.21;12.26;14.26;15.26;13.21;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231029;Pierre;Durant;30/11/1999;SAGE-FEMME;L1;11.26;12.21;13.0;14.26;15.21;13.26;12.26;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231030;Sophie;Leroy;18/07/2002;SAGE-FEMME;L1;14.26;15.26;13.0;12.21;14.21;16.26;15.21;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231031;Lucas;Moreau;10/09/2000;KINESITHERAPIE;L1;13.21;14.26;15.21;11.26;12.26;14.21;13.26;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231032;Emma;Petit;05/12/2001;KINESITHERAPIE;L1;15.26;16.21;14.5;13.21;15.21;13.26;14.21;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231033;Thomas;Roux;20/08/1999;INFIRMIER GENERAL;PACES;12.21;13.26;14.5;15.21;11.26;12.26;13.21;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231034;Chloé;Simon;14/02/2002;INFIRMIER GENERAL;PACES;14.21;15.26;13.21;12.26;14.26;15.21;16.26;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231035;Nicolas;Girard;30/06/2000;SAGE-FEMME;L1;13.26;12.21;14.21;15.26;16.21;14.26;13.21;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231036;Camille;Laurent;25/10/2001;KINESITHERAPIE;L1;15.21;14.127;13.43;12.21;13.21;15.26;14.208;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231037;Jean;Dupont;15/05/2000;INFIRMIER GENERAL;PACES;12.27;14.131;13.44;11.22;15.27;16.22;14.214;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231038;Marie;Martin;22/03/2001;INFIRMIER GENERAL;PACES;15.22;13.27;14.22;12.27;14.27;15.27;13.22;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231039;Pierre;Durant;30/11/1999;SAGE-FEMME;L1;11.27;12.22;13.0;14.27;15.22;13.27;12.27;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231040;Sophie;Leroy;18/07/2002;SAGE-FEMME;L1;14.27;15.27;13.0;12.22;14.22;16.27;15.22;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231041;Lucas;Moreau;10/09/2000;KINESITHERAPIE;L1;13.22;14.27;15.22;11.27;12.27;14.22;13.27;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231042;Emma;Petit;05/12/2001;KINESITHERAPIE;L1;15.27;16.22;14.5;13.22;15.22;13.27;14.22;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231043;Thomas;Roux;20/08/1999;INFIRMIER GENERAL;PACES;12.22;13.27;14.5;15.22;11.27;12.27;13.22;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231044;Chloé;Simon;14/02/2002;INFIRMIER GENERAL;PACES;14.22;15.27;13.22;12.27;14.27;15.22;16.27;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231045;Jean;Dupont;15/05/2000;INFIRMIER GENERAL;PACES;12.23;14.18;13.23;11.18;15.23;16.18;14.23;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231046;Marie;Martin;22/03/2001;INFIRMIER GENERAL;PACES;15.18;13.23;14.18;12.23;14.23;15.23;13.18;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231047;Pierre;Durant;30/11/1999;SAGE-FEMME;L1;11.23;12.18;13.0;14.23;15.18;13.23;12.23;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231048;Sophie;Leroy;18/07/2002;SAGE-FEMME;L1;14.23;15.23;13.0;12.18;14.18;16.23;15.18;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231049;Lucas;Moreau;10/09/2000;KINESITHERAPIE;L1;13.18;14.23;15.18;11.23;12.23;14.18;13.23;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231050;Emma;Petit;05/12/2001;KINESITHERAPIE;L1;15.23;16.18;14.5;13.18;15.18;13.23;14.18;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231051;Thomas;Roux;20/08/1999;INFIRMIER GENERAL;PACES;12.18;13.23;14.5;15.18;11.23;12.23;13.18;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231052;Chloé;Simon;14/02/2002;INFIRMIER GENERAL;PACES;14.18;15.23;13.18;12.23;14.23;15.18;16.23;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231053;Nicolas;Girard;30/06/2000;SAGE-FEMME;L1;13.23;12.18;14.18;15.23;16.18;14.23;13.18;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231054;Camille;Laurent;25/10/2001;KINESITHERAPIE;L1;15.18;14.139;13.41;12.18;13.18;15.23;14.216;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231055;Jean;Dupont;15/05/2000;INFIRMIER GENERAL;PACES;12.24;14.143;13.42;11.19;15.24;16.19;14.222;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231056;Marie;Martin;22/03/2001;INFIRMIER GENERAL;PACES;15.19;13.24;14.19;12.24;14.24;15.24;13.19;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231057;Pierre;Durant;30/11/1999;SAGE-FEMME;L1;11.24;12.19;13.0;14.24;15.19;13.24;12.24;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231058;Sophie;Leroy;18/07/2002;SAGE-FEMME;L1;14.24;15.24;13.0;12.19;14.19;16.24;15.19;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231059;Lucas;Moreau;10/09/2000;KINESITHERAPIE;L1;13.19;14.24;15.19;11.24;12.24;14.19;13.24;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
20231060;Emma;Petit;05/12/2001;KINESITHERAPIE;L1;15.24;16.19;14.5;13.19;15.19;13.24;14.19;8;9;6;14;6;4;8;STRUCTURE ET FONCTIONS DES BIOMOLECULES;BIOLOGIE CELLULAIRE ET TISSUS;PHYSIOLOGIE;ANATOMIE;FRANCAIS MEDICAL;PHARMACOLOGIE : INITIATION A LA CONNAISSANCE DU MEDICAMENT;SPECIFIQUE
